ID,LONGITUDE,LATITUDE,DATETIME,SPEED,STATUS,CONFIDENCE,T1,T2
1,-113.472858,53.551836,2018/08/28 9:27:04,0,,0,0,0
2,-113.4731663,53.551291,2018/08/28 9:27:23,3.809999943,Still,48,0,0
3,-113.473826,53.5505569,2018/08/28 9:27:42,4.650000095,On a bicycle,99,0,0
4,-113.4742685,53.5498372,2018/08/28 9:28:02,5.019999981,On a bicycle,98,0,0
5,-113.4748632,53.5490615,2018/08/28 9:28:21,4.829999924,On a bicycle,77,0,0
6,-113.4753038,53.548371,2018/08/28 9:28:40,4.050000191,On a bicycle,100,0,0
7,-113.4758644,53.5478523,2018/08/28 9:26:58,0,On a bicycle,100,0,0
8,-113.4766063,53.5471485,2018/08/28 9:29:18,3.769999981,On a bicycle,100,0,0
9,-113.4772639,53.5465147,2018/08/28 9:29:37,4.449999809,On a bicycle,100,0,0
10,-113.4777401,53.5460635,2018/08/28 9:29:54,3.5,On a bicycle,63,0,0
11,-113.4782238,53.5455994,2018/08/28 9:30:15,0.7200000286,On a bicycle,99,0,0
12,-113.4784752,53.5454074,2018/08/28 9:30:34,3.099999905,On a bicycle,66,0,0
13,-113.478621,53.5452561,2018/08/28 9:30:55,0,On a bicycle,73,0,0
14,-113.4786219,53.545255,2018/08/28 9:31:15,0,Still,92,0,0
15,-113.4786226,53.5452542,2018/08/28 9:31:23,0,Still,100,0,0
16,-113.4787288,53.5451938,2018/08/28 9:31:43,2.950000048,Still,88,0,0
17,-113.4796274,53.5447137,2018/08/28 9:32:03,4.78000021,On a bicycle,100,0,0
18,-113.4806871,53.5442127,2018/08/28 9:30:25,0,On a bicycle,83,0,0
19,-113.48082,53.5441481,2018/08/28 9:32:44,0,On a bicycle,61,0,0
20,-113.4808222,53.544148,2018/08/28 9:32:50,0,Still,53,0,0
21,-113.4809064,53.5441088,2018/08/28 9:33:12,2.779999971,Still,53,0,0
22,-113.4817353,53.5437208,2018/08/28 9:33:32,3.980000019,On a bicycle,100,0,0
23,-113.482077,53.5435161,2018/08/28 9:33:40,3.789999962,On a bicycle,100,0,0
24,-113.4831431,53.5429667,2018/08/28 9:34:01,4.570000172,On a bicycle,100,0,0
25,-113.4838254,53.5426404,2018/08/28 9:34:15,4.440000057,On a bicycle,100,0,0
26,-113.4850515,53.5422247,2018/08/28 9:34:35,3.710000038,On a bicycle,100,0,0
27,-113.4861544,53.5418603,2018/08/28 9:34:55,3.440000057,On a bicycle,100,0,0
28,-113.4867062,53.5416605,2018/08/28 9:35:05,4.309999943,On a bicycle,100,0,0
29,-113.4879576,53.5412632,2018/08/28 9:35:25,4.099999905,On a bicycle,100,0,0
30,-113.4894314,53.5411029,2018/08/28 9:35:46,4.25,On a bicycle,100,0,0
31,-113.490465,53.5410076,2018/08/28 9:36:03,3,On a bicycle,63,0,0
32,-113.4917646,53.5409741,2018/08/28 9:36:24,4.400000095,On a bicycle,100,0,0
33,-113.4926274,53.5409109,2018/08/28 9:36:37,4.139999866,On a bicycle,100,0,0
